designation,h,b,t,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,Av_y,Av_z
Tre 40 x 20 x 2,40.0,20.0,2.0,0.00021400000000000002,4.05e-08,2.0199999999999997e-06,2.6099999999999996e-06,1.3400000000000001e-08,1.34e-06,1.6e-06,3.5e-08,7.133333333333335e-05,0.0001426666666666667
Tre 40 x 20 x 2.5,40.0,20.0,2.5,0.000259,4.69e-08,2.35e-06,3.0899999999999996e-06,1.5400000000000002e-08,1.5399999999999999e-06,1.8799999999999998e-06,4.0999999999999997e-08,8.633333333333335e-05,0.0001726666666666667
Tre 40 x 27 x 2,40.0,27.0,2.0,0.000242,5.0599999999999996e-08,2.5299999999999995e-06,3.15e-06,2.73e-08,2.0299999999999996e-06,2.39e-06,5.91e-08,9.752238805970148e-05,0.0001444776119402985
Tre 40 x 27 x 2.5,40.0,27.0,2.5,0.000294,5.93e-08,2.96e-06,3.7499999999999997e-06,3.18e-08,2.36e-06,2.85e-06,7.05e-08,0.00011847761194029852,0.00017552238805970148
Tre 50 x 30 x 2,50.0,30.0,2.0,0.000294,9.54e-08,3.81e-06,4.74e-06,4.29e-08,2.8599999999999997e-06,3.33e-06,9.8e-08,0.00011025,0.00018375
Tre 50 x 30 x 2.5,50.0,30.0,2.5,0.000359,1.13e-07,4.519999999999999e-06,5.7e-06,5.05e-08,3.37e-06,3.98e-06,1.1699999999999999e-07,0.000134625,0.00022437500000000002
Tre 50 x 30 x 3,50.0,30.0,3.0,0.00042100000000000004,1.283e-07,5.13e-06,6.57e-06,5.7e-08,3.7999999999999996e-06,4.58e-06,1.35e-07,0.000157875,0.000263125
Tre 60 x 30 x 2,60.0,30.0,2.0,0.000334,1.5e-07,5.019999999999999e-06,6.31e-06,5.0800000000000005e-08,3.39e-06,3.89e-06,1.26e-07,0.00011133333333333332,0.00022266666666666664
Tre 60 x 30 x 2.5,60.0,30.0,2.5,0.000409,1.79e-07,5.98e-06,7.62e-06,6.000000000000001e-08,4e-06,4.669999999999999e-06,1.51e-07,0.00013633333333333336,0.0002726666666666667
Tre 60 x 30 x 3,60.0,30.0,3.0,0.000481,2.05e-07,6.83e-06,8.82e-06,6.8e-08,4.53e-06,5.389999999999999e-06,1.75e-07,0.00016033333333333335,0.0003206666666666667
Tre 60 x 34 x 2,60.0,34.0,2.0,0.00035,1.6399999999999999e-07,5.459999999999999e-06,6.7699999999999996e-06,6.769999999999999e-08,3.98e-06,4.57e-06,1.57e-07,0.00012659574468085104,0.00022340425531914895
Tre 60 x 34 x 2.5,60.0,34.0,2.5,0.000429,1.96e-07,6.53e-06,8.19e-06,8.03e-08,4.7300000000000005e-06,5.51e-06,1.9e-07,0.00015517021276595743,0.00027382978723404256
