designation,is_welded,is_circular,h,b,t,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,Av_y,Av_z
Tre 80 x 40 x 4,0,0,80.0,40.0,4.0,0.000855,6.479000000000001e-07,1.6199999999999997e-05,2.091e-05,2.1480000000000002e-07,1.074e-05,1.277e-05,5.520000000000001e-07,0.000285,0.00057
Tre 80 x 40 x 5,0,0,80.0,40.0,5.0,0.001036,7.51e-07,1.878e-05,2.473e-05,2.459e-07,1.229e-05,1.5019999999999998e-05,6.5e-07,0.0003453333333333,0.0006906666666666
Tre 80 x 50 x 3,0,0,80.0,50.0,3.0,0.000721,6.110000000000001e-07,1.53e-05,1.88e-05,2.94e-07,1.18e-05,1.36e-05,6.5e-07,0.0002773076923076,0.0004436923076923
Tre 80 x 50 x 4,0,0,80.0,50.0,4.0,0.000935,7.640000000000001e-07,1.91e-05,2.4e-05,3.65e-07,1.46e-05,1.7199999999999998e-05,8.270000000000001e-07,0.0003596153846153,0.0005753846153846
Tre 80 x 50 x 5,0,0,80.0,50.0,5.0,0.00114,8.920000000000001e-07,2.23e-05,2.85e-05,4.23e-07,1.6899999999999997e-05,2.05e-05,9.84e-07,0.0004384615384615,0.0007015384615384
Tre 80 x 60 x 2,0,0,80.0,60.0,2.0,0.000534,4.953e-07,1.238e-05,1.473e-05,3.187e-07,1.0619999999999998e-05,1.211e-05,6.12e-07,0.0002288571428571,0.0003051428571428
Tre 80 x 60 x 3,0,0,80.0,60.0,3.0,0.000781,7.005e-07,1.751e-05,2.116e-05,4.489e-07,1.496e-05,1.737e-05,8.83e-07,0.0003347142857142,0.0004462857142857
Tre 80 x 60 x 4,0,0,80.0,60.0,4.0,0.001015,8.792e-07,2.198e-05,2.699e-05,5.611e-07,1.87e-05,2.212e-05,1.131e-06,0.000435,0.00058
Tre 80 x 60 x 6,0,0,80.0,60.0,6.0,0.00144,1.16e-06,2.91e-05,3.69e-05,7.359999999999999e-07,2.45e-05,3.02e-05,1.56e-06,0.0006171428571428,0.0008228571428571
Tre 90 x 50 x 3,0,0,90.0,50.0,3.0,0.000781,8.185e-07,1.819e-05,2.26e-05,3.274000000000001e-07,1.3099999999999998e-05,1.5029999999999998e-05,7.67e-07,0.0002789285714285,0.0005020714285714
Tre 90 x 50 x 4,0,0,90.0,50.0,4.0,0.001015,1.0271e-06,2.282e-05,2.882e-05,4.0710000000000004e-07,1.628e-05,1.909e-05,9.77e-07,0.0003625,0.0006525
Tre 90 x 50 x 5,0,0,90.0,50.0,5.0,0.001236,1.206e-06,2.68e-05,3.441e-05,4.7370000000000007e-07,1.895e-05,2.27e-05,1.165e-06,0.0004414285714285,0.0007945714285714
Tre 100 x 40 x 2,0,0,100.0,40.0,2.0,0.000534,6.540000000000001e-07,1.3099999999999998e-05,1.6499999999999998e-05,1.56e-07,7.81e-06,8.69e-06,4.15e-07,0.0001525714285714,0.0003814285714285
Tre 100 x 40 x 3,0,0,100.0,40.0,3.0,0.000781,9.234e-07,1.847e-05,2.375e-05,2.1670000000000005e-07,1.084e-05,1.238e-05,5.9e-07,0.0002231428571428,0.0005578571428571
Tre 100 x 40 x 4,0,0,100.0,40.0,4.0,0.001015,1.1569e-06,2.314e-05,3.026e-05,2.6690000000000004e-07,1.334e-05,1.565e-05,7.450000000000001e-07,0.00029,0.000725
Tre 100 x 40 x 5,0,0,100.0,40.0,5.0,0.001236,1.356e-06,2.712e-05,3.609e-05,3.076000000000001e-07,1.538e-05,1.852e-05,8.790000000000001e-07,0.0003531428571428,0.0008828571428571
Tre 100 x 50 x 2,0,0,100.0,50.0,2.0,0.000574,7.5e-07,1.5e-05,1.85e-05,2.57e-07,1.03e-05,1.15e-05,6.16e-07,0.0001913333333333,0.0003826666666666
Tre 100 x 50 x 2.5,0,0,100.0,50.0,2.5,0.000709,9.12e-07,1.824e-05,2.267e-05,3.106e-07,1.242e-05,1.401e-05,7.540000000000001e-07,0.0002363333333333,0.0004726666666666
Tre 100 x 50 x 3,0,0,100.0,50.0,3.0,0.000841,1.0646e-06,2.129e-05,2.666e-05,3.6060000000000004e-07,1.442e-05,1.6440000000000002e-05,8.86e-07,0.0002803333333333,0.0005606666666666
Tre 100 x 50 x 4,0,0,100.0,50.0,4.0,0.001095,1.3414e-06,2.683e-05,3.41e-05,4.495000000000001e-07,1.798e-05,2.093e-05,1.13e-06,0.000365,0.00073
Tre 100 x 50 x 5,0,0,100.0,50.0,5.0,0.001336,1.5818e-06,3.164e-05,4.084e-05,5.245e-07,2.098e-05,2.495e-05,1.349e-06,0.0004453333333333,0.0008906666666666
Tre 100 x 60 x 3,0,0,100.0,60.0,3.0,0.000901,1.2057e-06,2.411e-05,2.957e-05,5.465e-07,1.822e-05,2.079e-05,1.217e-06,0.0003378749999999,0.000563125
Tre 100 x 60 x 4,0,0,100.0,60.0,4.0,0.001175,1.5258e-06,3.052e-05,3.794e-05,6.868e-07,2.289e-05,2.66e-05,1.563e-06,0.000440625,0.000734375
